id_projeto,titulo,classificacao_primaria,classificacao_secundaria,data_inicio,data_conclusao,situacao,coordenador,unidade_lista,sigla_unidade_lista,resumo,palavra_chave_1,palavra_chave_2,palavra_chave_3,palavra_chave_4,apresentacao,unidade_extensao,sigla_unidade_extensao,score_rrf,score_dense,score_bm25,is_stem
4910,"GIRLS - Gênero, Inclusão, Resiliência e Liderança em STEM",Extensão,Projeto de Extensão,2025-06-01,2030-06-01,Ativo,CAMILA ZACCHE DE AGUIAR,Departamento de Informática,DI/CT,"A concepção deste projeto foi motivada a partir de lacunas e oportunidades observadas na sociedade a fim de contribuir com a inclusão e equidade de gênero nas áreas de Ciência, Tecnologia, Engenharia e Matemática (STEM). De acordo com o Censo da Educação Superior de 2022, as mulheres representavam 60,3% dos concluintes em cursos presenciais de graduação no Brasil. No entanto, nas áreas de Ciências, Tecnologia, Engenharias e Matemática, essa participação era de apenas 22%. Há uma notável diferença de gênero nas áreas de STEM, com lacunas na educação e nas carreiras profissionais em quase todos os países do mundo, sendo observadas em todas as fases do ciclo de vida, desde a escola primária até posições de trabalho. 
Assim, este projeto propõe promover maior inclusão e equidade de gênero nas áreas STEM a partir da (i) criação de um espaço de convivência e acolhimento, (ii) apoio a projetos de pesquisa e extensão, (iii) disseminação de dados e práticas e (iv) realização de ações.  ",Gênero,Inclusão,Engenharia,STEM,"Ciência, Tecnologia, Engenharia e Matemática (Science, Technology, Engineering and Maths - STEM) são cada vez mais importantes para empregos do futuro, impulsionando a inovação, o bem-estar social, o crescimento inclusivo e o desenvolvimento sustentável. Contudo, há uma notável diferença de gênero nas áreas de STEM, com lacunas na educação e nas carreiras profissionais em quase todos os países do mundo.
De acordo com o Censo da Educação Superior de 2022, as mulheres representavam 60,3% dos concluintes em cursos presenciais de graduação no Brasil. No entanto, nas áreas de STEM, essa participação era de apenas 22%. A representatividade feminina é ainda menor em cursos de Computação e Tecnologias da Informação e Comunicação, atingindo apenas 15% dos concluintes.
Existem várias pesquisas que analisam a questão de gênero e que buscam validar hipóteses, levantar barreiras para a adesão à área (como o machismo, predominância masculina e estereótipo), conhecer fatores de atração (categorizadas em teoria, aplicação, social e cultural), identificar preconceitos e outros. Além disso, tem surgido vários movimentos com o intuito de incentivar a participação feminina nessas áreas, como o programa ""Meninas Digitais"", associado à SBC (Sociedade Brasileira de Computação). Cabe ressaltar ainda que, essa temática integra as ODS 5 (Igualdade de Gênero) e ODS 10 (Redução das Desigualdades) da Agenda 2023 da ONU, e com Plano Estadual de Políticas para as Mulheres do Espírito Santo.
Assim, esse projeto propõe promover maior inclusão e equidade de gênero, abordando essa questão transversalmente nessas áreas a partir da (i) criação de um espaço de convivência e acolhimento, (ii) apoio a projetos de pesquisa e extensão, (iii) disseminação de dados e práticas e (iv) realização de ações voltadas para a inclusão e equidade de gênero nessas áreas de STEM.",Departamento de Informática,DI/CT,0.03047794966520434,0.89779603,39.679484219608156,True
2877,Combate à violência obstétrica por meio do empoderamento feminino,Extensão,Projeto de Extensão,2022-02-01,2022-12-30,Suspenso,FABIANA DE CASSIA CARVALHO OLIVEIRA,Departamento de Farmácia e Nutrição,DFN/CCENS,"A violência obstétrica (VO) consiste em intervenções que ocorrem antes, durante ou logo após o parto que tiram o protagonismo feminino, violam seus direitos e podem gerar traumas que afetam diversos âmbitos da vida da mulher, interferindo na sua saúde mental e sexual, além de prejudicar o aleitamento materno, podendo ocasionar um desmame precoce. Conhecendo a dimensão dos danos causados, percebe-se a importância do empoderamento, haja vista que é dele que surge a noção de seus direitos. Os objetivos deste projeto são instruir mulheres sobre a VO; incentivar o empoderamento feminino; apoiar o aleitamento materno. O projeto contará com ações nas UBS e na maternidade do município, visando empoderar mulheres, debater a desigualdade entre gêneros e aumentar o conhecimento acerca desta temática. Assim, espera-se como resultados a redução do número de casos de VO, conscientizar gestantes sobre o assunto e promover empoderamento feminino.",mulher,violência obstétrica,empoderamento,gestação,"Alcançar a igualdade entre gêneros e o empoderamento de mulheres e meninas é um dos Objetivos de Desenvolvimento Sustentável da Agenda 2030, sendo que, um dos objetivos específicos é acabar com todo e qualquer tipo de violência contra as mulheres. Combater a prática de violência contra as mulheres exige mudanças na relação de poder entre os gêneros e quando este poder é atribuído às mulheres denomina-se empoderamento feminino (MORAIS; RODRIGUES, 2016). Tendo em vista que o empoderamento feminino consiste em a mulher conhecer os seus direitos, capacidades e tornar-se a protagonista da sua história, apropriando-se do pleno poder sobre a sua vida e seu corpo, passemos a olhar pela ótica do cuidado obstétrico. Gestantes empoderadas adquirem a capacidade de decidir sobre o seu cuidado e o tipo de parto que deseja, assumindo o papel principal neste processo que não só é fisiológico, mas também emocional. Uma das formas de violência sofrida pelas mulheres é a violência obstétrica, que se caracteriza por abusos, ofensas, opressão, intervenções desnecessárias, privação de acompanhante, restrição do movimento e posição, desestímulo por parte dos profissionais de saúde à amamentação logo após o nascimento, entre outras violações (TESSER et al., 2015). No estudo de Trajano e Barreto (2021) os profissionais de saúde envolvidos na assistência ao parto relataram presenciar situações de submissão, abusos físicos, psicológicos e verbais. Cientes de que para o combate à violência obstétrica é necessária mudança em diferentes esferas, como nas instituições de ensino de Medicina (currículos com inserção de práticas baseadas evidencias cientificas atualizadas, humanização), nas rotinas hospitalares, na conscientização de médicos e enfermeiros obstetras, assim como dos demais trabalhadores das maternidades, e no empoderamento das gestantes, bem como da sua rede de apoio. Conscientizar a personagem principal deste enredo, que é a mulher, pode ser o início de mudanças macroestruturais.
",Departamento de Farmácia e Nutrição,DFN/CCENS,0.030117753623188408,0.87116873,48.95075677994699,False
2927,Inclusão e Permanência de Meninas na Engenharia - uma iniciativa do PET Elétrica,Extensão,Projeto de Extensão,2021-01-25,2022-01-31,Concluído,TIARA RODRIGUES SMARSSARO DE FREITAS,Departamento de Engenharia Elétrica,DEE/CT,"Atualmente, é de suma importância que se discuta diversidade e inclusão nos cursos de engenharia. Podemos citar como exemplo, o fato de que no curso de engenharia elétrica da UFES, o número de mulheres ingressantes é muito pequeno: faz-se necessário promover discussões a respeito  da inserção e permanência de mulheres no curso e no PET e o combate ao machismo enraizado no curso. 
A Universidade como formadora de cidadãos tem a oportunidade de inserir esses temas para discussão no meio acadêmico, de forma a minimizar e combater preconceitos, e é neste sentido que este projeto se baseia.
",inclusão,engenharia,diversidade de gênero,mulheres na engenharia,"O projeto descrito propõe atividades que discutem a temática da inserção da mulher na área da engenharia, de forma a conscientizar os alunos e futuros alunos que o curso de engenharia não é restrito a homens, mas que todas as mulheres são capazes e aptas a enfrentar este desafio e concluirem com êxito.",Departamento de Engenharia Elétrica,DEE/CT,0.029857397504456328,0.8712995,45.604296288380205,True
4749,Meninas na Engenharia: Explorando a Ciência e Inspirando as Líderes do Amanhã,Extensão,Projeto de Extensão,2025-02-03,2027-11-30,Ativo,ADENILCIA FERNANDA GROBERIO CALENZANI,Departamento de Engenharia Civil,DEC/CT,"Ao longo da história, a presença feminina na ciência tem sido limitada. Segundo dados da Unesco, do total de estudantes matriculados em cursos de Ciência, Tecnologia, Engenharias e Matemática (STEM) no mundo, somente 35% são mulheres. No Brasil, embora as mulheres sejam maioria no ensino superior, essa predominância não se traduz em uma representação significativa nas carreiras científicas. Nas ciências exatas, engenharias e computação, a participação feminina continua sendo pouco expressiva.
Dentro desse contexto, o objetivo geral deste projeto de extensão é compreender a relação das meninas do ensino médio da grande Vitória com as ciências exatas para ser possível traçar e implementar ações de incentivo ao ingresso e a permanência dessas meninas no ensino superior de engenharia. Este projeto de extensão faz parte de um projeto de pesquisa em rede, de mesmo título, aprovado no Edital CNPq 31/2023.    
",Meninas na Engenharia,STEM,Ensino médio e superior,Igualdade de gênero,"
Ao longo da história, a presença feminina na ciência tem sido limitada, especialmente nas disciplinas de ciências exatas. No Brasil, embora as mulheres sejam maioria no ensino superior, essa predominância não se traduz em uma representação significativa nas carreiras científicas. Em áreas como ciências exatas, engenharias e computação, a participação feminina continua sendo e pouco expressiva.
Ao analisarmos as conquistas femininas, especialmente no campo das ciências exatas, é possível identificar uma trajetória marcada por desafios, preconceitos e práticas excludentes. Apesar de não haver evidências científicas que sustentem uma superioridade masculina no desempenho em disciplinas numéricas, essa ideia equivocada continua sendo reforçada pela sociedade. Isso gera um ciclo de maior incentivo aos meninos, enquanto as meninas enfrentam desestímulo e barreiras. Segundo a Unesco, apenas 35% dos estudantes matriculados em cursos de Ciência, Tecnologia, Engenharia e Matemática (STEM) no mundo são mulheres. No Brasil, o cenário é ainda mais preocupante: 31% dos cargos profissionais nessas áreas são ocupados por elas.
Dentro desse contexto, este projeto de extensão visa compreender a relação das meninas do ensino médio da grande Vitória com as ciências exatas para ser possível traçar e implementar ações de incentivo ao ingresso e a permanência dessas meninas no ensino superior de engenharia. Este projeto faz parte de um projeto de pesquisa em rede, de mesmo título, aprovado no Edital CNPq 31/2023. São previstas bolsas de Iniciação científica júnior para alunas do ensino médio e bolsas de apoio técnico para professoras também do ensino médio, além de uma bolsa de Iniciação científica para aluna de graduação em engenharia. As instituições participantes serão a Universidade Federal do Espírito Santo, o Instituto Federal do Espírito Santo e uma escola da rede pública a ser secionada na região da grande Vitória.
",Departamento de Engenharia Civil,DEC/CT,0.02946236559139785,0.8909321,37.36245403533028,True
3311,Projeto de Extensão CODEGATAS,Extensão,Projeto de Extensão,2022-12-01,2027-11-30,Ativo,JULIANA PINHEIRO CAMPOS PIROVANI,Departamento de Computação,DC/CCENS,"Segundo a pesquisa sobre estatísticas de gênero – Indicadores sociais das mulheres no Brasil, realizado pelo IBGE em 2019, do total de estudantes matriculados nos cursos superiores no brasil, na área de computação e tecnologia de informação, apenas 13,3 % são mulheres. 
Provavelmente, quando falamos em tecnologia e computação, nomes como Bill Gates, Elon Musk e Steve Jobs que vem a sua cabeça. Embora tenhamos relevância na história da computação não temos o nosso lugar de reconhecimento na área.
O objetivo do projeto é acolher as estudantes dos cursos de Ciência da Computação e Sistemas de Informação do CCENS/UFES formando um grupo para conhecer a história das mulheres na computação, mostrar que somos capazes de assumir um papel de protagonismo e capacitá-las para apresentar o papel das mulheres na computação nas escolas da região para incentivar as meninas a virem para a área de computação. 
",Mulheres na Computação,Inclusão Digital,Capacitação ,Tecnologia ,"O mundo da tecnologia é dominado pelo universo masculino. As mulheres possuem um pouco mais de 10% das posições. Essas escolhas ocorrem ainda na formação básica, onde as meninas já escutam que tecnologia é coisa para homem e nem cogitam a possibilidade em uma carreira na computação. Além de focar em mostrar todo potencial feminino para área de computação, o projeto possui características sociais fortalecendo engajamento das mulheres no mercado de trabalho que possui bons atrativos salariais, possui características da área de humanas com as diferenças de gênero na nossa sociedade e preconceito cultural sobre lugar de mulher é na cozinha. O lugar da mulher é onde ela quiser estar, inclusive na área da computação. ",Departamento de Computação,DC/CCENS,0.0293236301369863,0.8756847,38.82493386990847,True
5412,Festival Feminista de Mulheres Estudantes da UFES,Extensão,Evento de Extensão,2026-03-27,2026-03-28,Aguardando envio de relatório,MARLENE MARTINS DE OLIVEIRA,Pró-Reitoria de Extensão,PROEX,"O Festival constitui-se como uma ação extensionista de caráter político-formativo, cultural e institucional, voltada à promoção dos direitos das mulheres, ao fortalecimento dos feminismos e à valorização das trajetórias de mulheres que se destacaram no Espírito Santo na luta por equidade de gênero, compromisso com a emancipação humana das mulheres, democracia e direitos humanos. Durante o evento, vinculado ao Programa do Núcleo Impulsor de Políticas para Mulheres da Universidade Federal do Espírito Santo – “Mulheres na UFES”, será realizada a entrega da Menção Honrosa ""Cida Barreto"", em reconhecimento a mulheres que contribuíram de forma significativa para o avanço das pautas feministas no Espírito Santo. As atividades serão realizadas nos espaços do Prédio Paulo Freire (antigo IC IV) e do Prédio PPGE/UFES.",Festival,Mulheres Estudantes,Gênero,Formação,"O Festival Feminista de Mulheres Estudantes da UFES constitui-se como uma ação
extensionista de caráter político-formativo, cultural e institucional, voltada à promoção
dos direitos das mulheres, ao fortalecimento dos feminismos e à valorização das
trajetórias de mulheres que se destacaram no Espírito Santo na luta por equidade de
gênero, compromisso com a emancipação humana das mulheres, democracia e direitos
humanos.
O projeto do Festival está vinculado ao Programa do Núcleo Impulsor de Políticas
para Mulheres da Universidade Federal do Espírito Santo – “Mulheres na UFES”
(Registro PROEX nº 4632), que visa o fortalecimento articulado de ações de ensino,
pesquisa, extensão e gestão voltadas à promoção dos direitos das mulheres e à
igualdade de gênero no âmbito universitário
A iniciativa articula ensino, pesquisa e extensão, protagonizada por mulheres estudantes
da UFES, em diálogo com movimentos sociais, coletivos feministas, organizações da
sociedade civil, escolas, gestões públicas e a comunidade externa. Como marco
simbólico e político do Festival, será realizada a entrega do Menção Honrosa ""Cida
Barreto"", em reconhecimento a mulheres que contribuíram de forma significativa para
o avanço das pautas feministas no Espírito Santo.
A escolha do nome ""Cida Barreto"" homenageia uma mulher cuja trajetória representa a
resistência, a luta coletiva e o compromisso com a transformação social, reafirmando a
memória feminista e o papel das mulheres na construção de políticas públicas e práticas
emancipatórias.",Pró-Reitoria de Extensão,PROEX,0.026984126984126985,0.8601122,53.96898826767555,False
2257,Diálogos sobre o feminino,Extensão,Projeto de Extensão,2021-02-16,2022-02-16,Inadimplente,JULIANA DE LANNA PASSOS,Departamento de Biologia,DB/CCENS,"Pretende-se realizar lives com representantes de diversas áreas do campo social, político e educacional para debater temas relacionados a questão da mulher. Dentre os temas pretende-se abordar leis, pacote anticrime de violência contra a mulher, violência patrimonial, violência obstétrica, encarceramento de mulheres, relação abusiva, racismo, etc. Todos os temas deverão ser retratados no âmbito político, econômico e social. As mortes de mulheres por feminicídio abre uma demanda de discussão sobre temas do universo feminino. A demanda por novos espaços de discussão é cresccente e o momento é propício. Verifica-se no tocante ao femicídio uma inflexão significativa frente as falas de ministros do supremo sobre a questão. Portanto, é preponderante que a academia participe do debate no que tange a questão feminina. Espera-se contribuir de forma significativa ao falar de questões tão sérias invisibilizadas ou até mesmo naturalizadas na nossa sociedade.",Mulher,Aspecto social,Aspecto econômico,Aspecto político,"A  atuação  feminina  na  sociedade  sempre  esteve  marcada  pela  expectativa  do  papel  doméstico  e  de  mãe.  Não  obstante,  também  teve  e  tem  um  papel  imprescindível  na  economia,  por  vezes  reconhecido,  por vezes menosprezado (OLIVEIRA & PELLOSO, 2004).  A invisibilidade social gerou conflitos, lutas e conquistas protagonizadas por mulheres de diferentes raças e crenças. A luta das mulheres trouxe à tona várias indagações femininas como o direito ao voto, ao acesso à educação, direitos reprodutivos, violência doméstica, estupro, trabalho doméstico não remunerado, acesso à saúde, encarceramento, etc. No entanto, verifica-se que avanços foram alcançados, leis foram criadas, mas nem tudo mudou. A violência física, psicológica, patrimonial e obstétrica, a desigualdade financeira, a discrepância ao acesso à educação, as estruturas políticas e empresariais dentre outros ainda persistem achincalhando o universo feminino. Dentro das  perspectivas  sociais,  a  mulher  passa  por  conquistas,  experiências  e  conflitos  na  busca  da  realização existencial. A   consolidação   da   mulher   no   mercado   de   trabalho,  obviamente,  conflita  com  as  questões  de  ordem doméstica e altera comportamentos (OLIVEIRA & PELLOSO, 2004).  Todas essas mudanças criaram um clima de tensão entre gêneros implodindo em conflitos de várias ordens. A modificação na esfera doméstica abriu lugar para novos recortes de família onde muitas mulheres se tornaram chefes do núcleo familiar. Nesta posição elas encabeçam a ponta da desigualdade econômica onde ao exercerem um mesmo ofício mulheres ganham menos que os homens. Um recorte racial mostra que mulheres negras são ainda mais atingidas nesta questão. Ao mesmo tempo elas travam uma jornada dupla ou até mesmo tripla diariamente. O feminicídio é o extremo do conflito: o machismo, misoginia e o sexismo tem promovido a manutenção de um comportamento letal a vida da mulher sem qualquer recorte de classe social.  ",Departamento de Biologia,DB/CCENS,0.025837770122142185,0.8576398,54.225482698505495,False
2460,I CONGRESSO ESPÍRITO SANTENCE DE DIVERSIDADE DE GÊNERO,Extensão,Evento de Extensão,2021-05-14,2021-05-15,Concluído,NEIDE APARECIDA TOSATO BOLDRINI,Departamento de Ginecologia e Obstetricia,DGO/CCS,"Discutir a saúde da população LGBTT é fundamental nos dias de hoje, onde as liberdades de expressão e de gênero estão encontram-se em íntimo contato com os serviços de saúde, com demandas específicas e propostas terapêuticas especializadas. Visto isso, faz-se necessários que profissionais de saúde e todos os profissionais envolvidos no atendimento a esta população, especialmente à população transgênero, estejam capacitados para poder fornecer o atendimento equalitário, universal e integral, conforme princípios do nosso sistema de saúde. Esta capacitação abrange desde acolhimento com o correto uso do nome social e conhecimento dos direitos adquiridos desta população até diagnóstico, propedêutica e tratamento de patologias gerais ou específicas deste grupo.
Objetivo geral: discutir e fomentar conhecimento científico acerca da população transgênero, capacitando profissionais de saúde, de recepção, gestores e estudante na melhor condução clínica e terapêutica para atendimento .
",Pessoas Transgênero, Adequação Sexual,Diversidade de Gênero,,"Discutir a saúde da população LGBTT é fundamental nos dias de hoje, onde as liberdades de expressão e de gênero estão encontram-se em íntimo contato com os serviços de saúde, com demandas específicas e propostas terapêuticas especializadas. Visto isso, faz-se necessários que profissionais de saúde e todos os profissionais envolvidos no atendimento a esta população, especialmente à população transgênero, estejam capacitados para poder fornecer o atendimento equalitário, universal e integral, conforme princípios do nosso sistema de saúde. ",Departamento de Ginecologia e Obstetricia,DGO/CCS,0.025503573749187783,0.86384875,36.17941569920228,False
3836,MulherES na Computação,Extensão,Projeto de Extensão,2023-03-01,2025-04-23,Concluído,CAMILA ZACCHE DE AGUIAR,Departamento de Informática,DI/CT,"A concepção desse projeto foi motivada a partir de lacunas e oportunidades observadas na sociedade para acompanhar a era digital e visa analisar e estimular a participação das mulheres nos cursos de computação no Estado do Espírito Santo. De acordo com o Censo da Educação Superior de 2020, as mulheres correspondem a 12% das matrículas nos cursos da área de TI no Espírito Santo, bem menor do que a média geral de participação feminina em cursos de graduação no país, em torno de 39%. Assim, o projeto MulherES na Computação se propõe a (i) coletar dados sobre a participação das mulheres nos cursos de computação no ES, (ii) produzir análises estatísticas sobre o tema e (iii) realizar ações para estimular a participação das mulheres na área da computação. Além disso, pretende-se indiretamente contribuir para a economia do Espírito Santo, uma vez que a metade da população do estado é do gênero feminino e a área de TI conta com grande déficit de profissionais.",Computação,Mulher,Gênero,Estado do Espírito Santo,"O Programa Computação e Sociedade, ao qual este projeto está alinhado, foi concebido a partir das lacunas e oportunidades observadas na sociedade para acompanhar a era digital. Nesse cenário, observamos que as mulheres têm representado a minoria nos cursos da área de computação no Estado do Espírito Santo, correspondendo a 12% das matrículas segundo o Censo do Ensino Superior 2020. Assim, compreender a baixa representatividade das mulheres nos cursos de computação é essencial para mudar essa realidade e garantir a inclusão das mulheres na área de computação, tanto na educação como no mercado.

Existem várias pesquisas que analisam a questão de gênero na área de TI e que buscam validar hipóteses, levantar barreiras para a adesão à área (como o machismo, predominância masculina e estereótipo), conhecer fatores de atração (categorizadas em teoria, aplicação, social e cultural), identificar preconceitos  e outros. Com o intuito de incentivar a participação feminina, tem surgido movimentos como o programa ""Meninas Digitais"", associado à SBC (Sociedade Brasileira de Computação), que visa apresentar a área de computação como possível meio de realização profissional, motivando alunas do Ensino Fundamental, Médio e Educação Tecnológica para seguir carreira nessa área.

Assim, o projeto MulherES na Computação se propõe a (i) coletar dados sobre a participação das mulheres nos cursos de computação no ES, (ii) produzir análises estatísticas sobre o domínio e (iii) realizar ações para fomentar a participação das mulheres na área da computação. Além disso, pretende-se indiretamente contribuir para a economia do Espírito Santo, formando mais profissionais na área, uma vez que a metade da população do estado é do gênero feminino e a área de TI conta com grande déficit de profissionais desse gênero.",Departamento de Informática,DI/CT,0.02512945476698142,0.85897094,45.39385007504638,True
597,AMBULATÓRIO MULTIDISCIPLINAR DE DIVERSIDADE DE GÊNERO,Extensão,Projeto de Extensão,2017-10-02,2026-10-31,Ativo,NEIDE APARECIDA TOSATO BOLDRINI,Departamento de Ginecologia e Obstetricia,DGO/CCS," Desde o século XIX, o gênero está associado à genitália. Porém, o ser mulher ou o ser homem não são experiências fixadas pela natureza e tampouco são consequências apenas de normas sociais. Assim, as performances de gênero assumem a função de reproduzir homens/mulheres “de verdade”, no desejo de uma legitimidade do gênero. É sob essa ótica que estão pautadas as transformações do corpo, que podem incluir o uso de hormônios sexuais e procedimentos cirúrgicos. Tem-se elevada vulnerabilidade social e risco aumentado de sofrimento de todos os tipos de violência. Isso inclui a alta prevalência de suicídio, de abuso de substâncias psicotrópicas, de uso indiscriminado de hormônios, de doenças sexualmente transmissíveis e de desemprego. A Portaria nº 2.836, de 1º de dezembro de 2011 reconhece que a orientação sexual e a identidade de gênero estão implicadas no processo saúde-doença da população e busca desenvolver ações transversais na área da saúde voltadas a essa população específica.",Pessoas Transgênero,Identidade de Gênero,Doenças Transmissíveis.,,"À primeira vista, a noção de gênero parece algo natural. Desde o século XIX, o gênero está associado à genitália, ou seja, o feminino sendo definido pela presença da vagina e o masculino pelo pênis (BENTO, 2008). Já em meados do século XIX, interromperam-se os trânsitos entre os gêneros e o discurso da diferença entre feminino e masculino passou a ser justificado por razões puramente biológicas, sobretudo pela diferença das genitálias. Assim, a organização social passaria ser ditada e orientada pela natureza, contra a qual nada se poderia fazer. Então, é só a partir da era moderna que se pode falar em divergência entre gênero atribuído e corpo sexuado, ou seja, é a partir da ideia do dimorfismo em oposição ao isomorfismo que se pode pensar na existência da transexualidade. Antes de nascer, o corpo já está inscrito em um campo discursivo: “é um/a menino/a”. E se o corpo reflete o sexo, o gênero só pode ser entendido quando referido a essa relação (BENTO, 2008).
 É sob essa ótica que estão pautadas as transformações do corpo, que podem incluir o uso de hormônios sexuais e procedimentos cirúrgicos ditos “reparadores”. Consequentemente, tem-se elevada vulnerabilidade social e risco aumentado de sofrimento de todos os tipos de violência. Isso inclui a alta prevalência de suicídio, de abuso de substâncias psicotrópicas, de uso indiscriminado de hormônios e de silicone industrial, de doenças sexualmente transmissíveis, de desemprego e de desamparo. A Política Nacional de Saúde Integral de Lésbicas, Bissexuais, Travestis e Transexuais do Ministério da Saúde – Portaria nº 2.836, de 1º de dezembro de 2011 reconhece que a orientação sexual e a identidade de gênero estão implicados no processo saúde-doença da população e busca desenvolver ações transversais na área da saúde voltadas a essa população específica (UMA-SUS, XXXX).

",Departamento de Ginecologia e Obstetricia,DGO/CCS,0.02501906941266209,0.85965735,40.65938884999413,False
1418,FormAÇÕES Afirmativas: “Atuação na Universidade na perspectiva das Ações Afirmativas”,Extensão,Projeto de Extensão,2021-01-15,2021-12-30,Inadimplente,SUELLEN CARVALHO ELEOTÉRIO,Diretoria de Ações Afirmativas e Diversidade,DAAD/PROAECI,"O Form(ações) Afirmativas constitui-se como projeto da Diretoria de Ações Afirmativas - DAAD e Diversidades de realização, apoio e/ou participação em ações de formação, seminários, campanhas, debates, rodas de conversa/cuidado e demais eventos cuja temática gire em torno das ações afirmativas. A inserção nesses espaços tem o foco na promoção de direitos, além da eliminação de preconceitos, discriminações e outras formas correlatas de violações aos direitos individuais e coletivos dos estudantes indígenas, quilombolas, população do campo, negros/as, mulheres, LGBTTs e pessoas com deficiência. A construção de espaços formativos que proporcionem debates dessas questões vão ao encontro das propostas construídas coletivamente na I Conferência de Ações Afirmativas da UFES. Uma vez legitimadas pela agenda resultante da Conferência, essas iniciativas demonstram a importância de se constituir o respeito à diversidade como princípio ético-político orientador das práticas na universidade.",Ações Afirmativas,Diversidade,Formação,,"Form(ações) Afirmativas constitui-se como projeto da Diretoria de Ações Afirmativas - DAAD e Diversidades de realização, apoio e/ou participação em ações de formação, seminários, debates, rodas de conversa/cuidado, campanhas audiovisuais e demais eventos em geral cuja temática gire em torno das ações afirmativas. A participação da DAAD em tais eventos visa contribuir na construção de espaços dialógicos que debatam questões relacionadas ao acesso e permanência na Universidade, questões de gênero, étnico-racial, orientação sexual, população do campo, pessoas com deficiências, populações indígenas e quilombolas. A inserção nesses espaços tem o foco na promoção de direitos, além da eliminação de preconceitos, discriminações e outras formas correlatas de violações aos direitos individuais e coletivos dos estudantes indígenas, quilombolas, população do campo, negros/as, mulheres, LGBTQIA+ e pessoas com deficiência no âmbito da universidade.",Diretoria de Ações Afirmativas e Diversidade,DAAD/PROAECI,0.02488202488202488,0.8768027,24.725755611505758,False
4925,"SEMINÁRIO  ""GÊNERO, SEXUALIDADE(S) E OUTROS MARCADORES DA DIFERENÇA: O QUE PODE UM CORPO QUANDO FRACASSA?""",Extensão,Evento de Extensão,2025-09-17,2025-09-19,Concluído,ALEXSANDRO RODRIGUES,Departamento de Teorias de Ensino e Práticas Educacionais,DTEPE/CE,"O Seminário ""Genero, sexualidade(s) e outros marcadores da diferença: o que pode um corpo quandro fracassa?"" busca em sua ação extensionista promover reflexões sobre os processos formativos e as múltiplas dimensões que pode assumir o corpo, a sexualidade e o gênero em suas interfaces com a educação, a saúde, as artes, a cultura, os direitos humanos e as políticas de expansão da vida que acontecem, sobretudo no encontro e na recusa das e com as políticas normativas que buscam nos subjetivar numa forma identidade sempre igual. Para além de seguirmos nesta atividade produzindo reflexões críticas sobre o que temos feito de nós  no encontro com o gênero e a sexualidade é também espaço tempo propício para celebrar os 15 anos de existência do Projeto de Extensão ""Grupo de estudos e pesquisas em sexualidades"", GEPSs/Ufes e  de fazermos a análise de conjutura sobre o tempo histórico em que estamos vivendo e nossas possibilidades de seguir sonhando com o futuro para a população LGBTQUIAPN+. ",corpo,gênero,sexualidade,fracasso,"O Seminário em questão se propõe a ser um espaço de anuncios, de denuncias, de troca e construção coletiva de conhecimentos sobre corpo, gênero, sexualidade e fracasso, referenciado pelos direitos humanos, pela arte, pelo pensamento sensível e pelas políticas públicas do bem viver que afirmando a igualdade e equidade na diferença, criam as condições estruturais necessárias para garantir a expansão da vida em seu direito em diferir desde onde ela se encontra.  Sendo uma atividade de extensão implicada com processos formativos de trabalhadores culturais e estudantes, sua programação buca possibilitar o diálogo entre a universidade e a sociedade civil  ao garantir a promoção de conversas referendados sobre a diversidade sexual, identidade de gênero, direitos reprodutivos, direito ao corpo, políticas públicas, educação sexual e outras temáticas contemporâneas que tomam o corpo, o gênero e a sexualidade como ponto de partida e chegada. Nos interessa nessa ação extensionista fazer com Jack Halberstam (2020, p.21), um elogio ao fracasso. Com este autor compreendemos que o fracasso ""permite-nos escapar às normas punitivas que disciplinam o comportamento e administram o desenvolvimento humano com o objetivo de nos resgatar de uma infância indisciplinada, conduzindo-nos a uma fase adulta controlada e previsível. O fracasso preserva um pouco da extraordinária anarquia da infância e perturba os limites supostamente imaculados entre adultos e crianças, ganhadores e perdedores. E ainda que, indubitavelmente, o fracasso venha acompanhado de uma horda de emoções negativas, tais como decepção, desilusão e desespero, ele também proporciona a oportunidade de usar essas emoções negativas para espetar e fazer furos na positividade tóxica da vida contemporânea"". Com esse seminário pretendemos fazer furos na heterossexualidade compulsória, na masculinidade hegemônica, nas violencias e nas políticas que buscam enfraquecer a alegria em nossas vidas e o diereito a uma  existência digna.",Departamento de Teorias de Ensino e Práticas Educacionais,DTEPE/CE,0.02362531085935341,0.86580044,28.687726846419192,False
